기간,자치구,동,전체인구,전체인구,전체인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구,65세이상 인구
기간,자치구,동,전체인구,전체인구,전체인구,합계,합계,합계,내국인,내국인,내국인,외국인,외국인,외국인
기간,자치구,동,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2020,성동구,금호1가동,"15,795","7,557","8,238","2,595","1,112","1,483","2,589","1,109","1,480",6,3,3
2020,성동구,금호4가동,"14,842","7,104","7,738","2,318",963,"1,355","2,313",961,"1,352",5,2,3
2020,성동구,성수1가1동,"16,851","8,451","8,400","2,195",996,"1,199","2,186",990,"1,196",9,6,3
2020,성동구,성수1가2동,"13,738","6,745","6,993","1,927",874,"1,053","1,920",871,"1,049",7,3,4
2020,성동구,성수2가1동,"17,146","8,925","8,221","2,855","1,308","1,547","2,833","1,294","1,539",22,14,8
2020,성동구,성수2가3동,"11,457","5,833","5,624","1,872",891,981,"1,861",885,976,11,6,5
2020,성동구,송정동,"11,143","5,868","5,275","1,743",812,931,"1,727",803,924,16,9,7
2020,성동구,용답동,"12,724","6,616","6,108","2,144",986,"1,158","2,117",972,"1,145",27,14,13
2020,성동구,왕십리도선동,"27,588","13,126","14,462","3,702","1,602","2,100","3,690","1,597","2,093",12,5,7
2020,성동구,금호2.3가동,"23,584","11,234","12,350","3,888","1,610","2,278","3,879","1,605","2,274",9,5,4
2020,성동구,옥수동,"26,912","12,554","14,358","4,017","1,725","2,292","3,996","1,712","2,284",21,13,8
2020,광진구,소계,"360,109","173,000","187,109","50,560","22,621","27,939","50,311","22,500","27,811",249,121,128
2020,광진구,화양동,"25,541","11,719","13,822","2,348","1,027","1,321","2,331","1,017","1,314",17,10,7
2020,광진구,군자동,"21,903","10,750","11,153","2,959","1,334","1,625","2,945","1,329","1,616",14,5,9
2020,광진구,중곡1동,"16,190","7,856","8,334","2,491","1,145","1,346","2,481","1,139","1,342",10,6,4
2020,광진구,중곡2동,"22,285","10,533","11,752","3,227","1,441","1,786","3,219","1,437","1,782",8,4,4
2020,광진구,중곡3동,"16,902","8,356","8,546","2,816","1,243","1,573","2,811","1,241","1,570",5,2,3
2020,광진구,중곡4동,"29,815","14,564","15,251","4,998","2,252","2,746","4,992","2,251","2,741",6,1,5
2020,광진구,능동,"11,913","5,478","6,435","1,621",721,900,"1,615",718,897,6,3,3
2020,광진구,구의1동,"22,700","10,839","11,861","3,090","1,337","1,753","3,072","1,331","1,741",18,6,12
2020,광진구,구의2동,"27,444","13,174","14,270","4,265","1,868","2,397","4,258","1,864","2,394",7,4,3
2020,광진구,구의3동,"29,588","14,069","15,519","3,957","1,807","2,150","3,946","1,803","2,143",11,4,7
2020,광진구,광장동,"35,619","17,201","18,418","3,702","1,674","2,028","3,694","1,669","2,025",8,5,3
2020,광진구,자양1동,"23,710","11,362","12,348","3,408","1,466","1,942","3,384","1,455","1,929",24,11,13
2020,광진구,자양2동,"26,016","12,670","13,346","3,914","1,793","2,121","3,911","1,790","2,121",3,3,-
2020,광진구,자양3동,"28,957","13,885","15,072","4,050","1,858","2,192","4,038","1,851","2,187",12,7,5
2020,광진구,자양4동,"21,526","10,544","10,982","3,714","1,655","2,059","3,614","1,605","2,009",100,50,50
2020,동대문구,소계,"357,014","175,322","181,692","61,796","27,482","34,314","61,612","27,398","34,214",184,84,100
2020,동대문구,회기동,"12,663","5,813","6,850","1,565",635,930,"1,559",631,928,6,4,2
2020,동대문구,휘경1동,"15,362","7,226","8,136","2,130",937,"1,193","2,124",936,"1,188",6,1,5
2020,동대문구,휘경2동,"24,992","12,311","12,681","3,915","1,732","2,183","3,910","1,729","2,181",5,3,2
2020,동대문구,청량리동,"20,432","10,187","10,245","5,278","2,335","2,943","5,251","2,327","2,924",27,8,19
