기간,자치구,동,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
기간,자치구,동,가구,시설,인원,가구,인원,가구,인원,가구,인원,시설,인원
2020,관악구,소계,"15,417",33,"20,517","12,725","16,059","2,179","3,433",513,636,33,389
2020,관악구,보라매동,745,-,"1,038",638,860,86,149,21,29,-,-
2020,관악구,청림동,456,-,584,392,488,51,78,13,18,-,-
2020,관악구,행운동,774,-,974,684,845,66,103,24,26,-,-
2020,관악구,낙성대동,339,-,432,241,298,86,117,12,17,-,-
2020,관악구,중앙동,419,-,523,357,433,48,73,14,17,-,-
2020,관악구,인헌동,511,-,676,441,570,57,92,13,14,-,-
2020,관악구,남현동,235,-,287,181,213,48,66,6,8,-,-
2020,관악구,서원동,574,-,790,460,602,101,173,13,15,-,-
2020,관악구,신원동,777,-,"1,024",614,774,139,218,24,32,-,-
2020,관악구,서림동,811,-,"1,061",617,783,171,248,23,30,-,-
2020,관악구,신사동,788,-,"1,083",642,847,124,210,22,26,-,-
2020,관악구,신림동,610,-,691,459,523,132,149,19,19,-,-
2020,관악구,난향동,438,-,599,367,483,40,74,31,42,-,-
2020,관악구,조원동,531,-,653,469,578,54,66,8,9,-,-
2020,관악구,대학동,940,-,"1,077",719,819,186,219,35,39,-,-
2020,관악구,은천동,"1,181",-,"1,547","1,030","1,303",106,189,45,55,-,-
2020,관악구,성현동,"1,137",-,"1,511",961,"1,238",109,196,67,77,-,-
2020,관악구,청룡동,815,-,970,661,770,119,156,35,44,-,-
2020,관악구,난곡동,"1,288",-,"1,822","1,072","1,451",171,306,45,65,-,-
2020,관악구,삼성동,"1,187",-,"1,553","1,056","1,343",105,181,26,29,-,-
2020,관악구,미성동,851,-,"1,225",654,830,180,370,17,25,-,-
2020,관악구,기타,10,33,397,10,8,-,-,-,-,33,389
2020,서초구,소계,"4,610",6,"6,791","4,046","5,552",506,"1,025",58,71,6,143
2020,서초구,서초1동,253,-,322,223,273,28,46,2,3,-,-
2020,서초구,서초2동,84,-,110,70,87,14,23,-,-,-,-
2020,서초구,서초3동,269,-,355,238,304,29,48,2,3,-,-
2020,서초구,서초4동,49,-,54,47,52,2,2,-,-,-,-
2020,서초구,잠원동,210,-,247,198,228,10,17,2,2,-,-
2020,서초구,반포본동,19,-,40,16,32,3,8,-,-,-,-
2020,서초구,반포1동,313,-,373,275,316,30,49,8,8,-,-
2020,서초구,반포2동,5,-,5,4,4,1,1,-,-,-,-
2020,서초구,반포3동,23,-,33,22,32,1,1,-,-,-,-
2020,서초구,반포4동,55,-,92,43,63,11,26,1,3,-,-
2020,서초구,방배본동,222,-,320,197,277,23,41,2,2,-,-
2020,서초구,방배1동,228,-,290,206,257,16,27,6,6,-,-
2020,서초구,방배2동,323,-,418,299,376,22,40,2,2,-,-
2020,서초구,방배3동,193,-,258,160,197,28,56,5,5,-,-
2020,서초구,방배4동,200,-,264,179,235,17,25,4,4,-,-
2020,서초구,양재1동,"1,329",-,"2,135","1,175","1,798",142,319,12,18,-,-
2020,서초구,양재2동,425,-,604,360,493,61,107,4,4,-,-
2020,서초구,내곡동,407,-,725,331,525,68,189,8,11,-,-
2020,서초구,기타,3,6,146,3,3,-,-,-,-,6,143
2020,강남구,소계,"9,820",11,"14,660","8,020","10,772","1,559","2,933",241,356,11,599
2020,강남구,신사동,154,-,200,128,156,23,39,3,5,-,-
2020,강남구,논현1동,549,-,751,405,520,132,214,12,17,-,-
2020,강남구,논현2동,319,-,462,237,319,76,135,6,8,-,-
2020,강남구,삼성1동,92,-,143,57,81,30,55,5,7,-,-
2020,강남구,삼성2동,317,-,463,249,339,61,113,7,11,-,-
2020,강남구,대치1동,11,-,19,9,15,2,4,-,-,-,-
2020,강남구,대치4동,382,-,544,290,396,92,148,-,-,-,-
2020,강남구,역삼1동,675,-,874,519,645,151,223,5,6,-,-
2020,강남구,역삼2동,411,-,520,326,387,82,128,3,5,-,-
2020,강남구,도곡1동,116,-,145,91,111,25,34,-,-,-,-
2020,강남구,도곡2동,58,-,71,46,55,12,16,-,-,-,-
2020,강남구,개포1동,119,-,152,100,118,18,33,1,1,-,-
2020,강남구,개포4동,441,-,660,337,470,82,161,22,29,-,-
2020,강남구,일원본동,69,-,112,62,95,7,17,-,-,-,-
2020,강남구,일원1동,"1,109",-,"1,618",924,"1,273",145,284,40,61,-,-
2020,강남구,일원2동,897,-,"1,229",807,"1,064",77,147,13,18,-,-
2020,강남구,수서동,"2,421",-,"3,236","2,082","2,600",263,536,76,100,-,-
2020,강남구,세곡동,"1,167",-,"2,178",936,"1,601",190,498,41,79,-,-
2020,강남구,압구정동,109,-,129,88,99,21,30,-,-,-,-
2020,강남구,청담동,137,-,219,112,166,23,51,2,2,-,-
2020,강남구,대치2동,131,-,161,100,118,29,41,2,2,-,-
2020,강남구,개포2동,129,-,169,108,138,18,26,3,5,-,-
2020,강남구,기타,7,11,605,7,6,-,-,-,-,11,599
2020,송파구,소계,"10,670",21,"16,081","8,867","12,598","1,565","2,814",238,290,21,379
2020,송파구,풍납1동,418,-,534,344,416,61,104,13,14,-,-
2020,송파구,풍납2동,389,-,556,333,469,47,73,9,14,-,-
2020,송파구,거여1동,436,-,609,367,482,62,120,7,7,-,-
2020,송파구,거여2동,576,-,792,484,617,69,148,23,27,-,-
2020,송파구,마천1동,"1,045",-,"1,551",876,"1,255",148,266,21,30,-,-
2020,송파구,마천2동,970,-,"1,423",816,"1,160",134,240,20,23,-,-
2020,송파구,방이1동,199,-,326,167,258,29,64,3,4,-,-
2020,송파구,방이2동,549,-,759,466,641,78,111,5,7,-,-
2020,송파구,오륜동,12,-,12,12,12,-,-,-,-,-,-
2020,송파구,오금동,910,-,"1,523",726,"1,176",164,321,20,26,-,-
2020,송파구,송파1동,408,-,539,328,421,69,105,11,13,-,-
2020,송파구,송파2동,247,-,345,192,249,47,86,8,10,-,-
2020,송파구,석촌동,725,-,991,594,781,109,183,22,27,-,-
2020,송파구,삼전동,728,-,"1,052",618,869,93,165,17,18,-,-
2020,송파구,가락본동,463,-,629,406,551,52,73,5,5,-,-
2020,송파구,가락1동,68,-,98,62,88,4,8,2,2,-,-
2020,송파구,가락2동,368,-,557,295,439,60,104,13,14,-,-
2020,송파구,문정1동,257,-,385,199,288,53,90,5,7,-,-
2020,송파구,문정2동,78,-,94,69,82,8,11,1,1,-,-
2020,송파구,잠실본동,641,-,854,521,682,111,163,9,9,-,-
2020,송파구,잠실4동,20,-,23,17,18,3,5,-,-,-,-
2020,송파구,잠실6동,23,-,40,19,31,4,9,-,-,-,-
2020,송파구,잠실7동,5,-,9,5,9,-,-,-,-,-,-
2020,송파구,잠실2동,24,-,26,21,22,3,4,-,-,-,-
2020,송파구,잠실3동,34,-,46,29,34,4,11,1,1,-,-
2020,송파구,장지동,781,-,"1,390",643,"1,099",120,268,18,23,-,-
2020,송파구,위례동,296,-,539,258,449,33,82,5,8,-,-
2020,송파구,기타,-,21,379,-,-,-,-,-,-,21,379
2020,강동구,소계,"10,302",24,"14,698","8,605","11,473","1,377","2,360",320,412,24,453
2020,강동구,강일동,"1,002",-,"1,652",839,"1,345",110,224,53,83,-,-
2020,강동구,상일동,270,-,384,226,296,39,82,5,6,-,-
2020,강동구,명일1동,288,-,373,242,301,36,58,10,14,-,-
2020,강동구,명일2동,134,-,195,113,157,16,31,5,7,-,-
2020,강동구,고덕1동,235,-,323,204,270,22,42,9,11,-,-
2020,강동구,고덕2동,431,-,570,368,463,46,86,17,21,-,-
2020,강동구,암사2동,128,-,156,111,131,16,24,1,1,-,-
2020,강동구,암사3동,87,-,125,81,113,6,12,-,-,-,-
2020,강동구,천호1동,"1,082",-,"1,491",902,"1,209",156,254,24,28,-,-
2020,강동구,천호3동,"1,067",-,"1,364",883,"1,098",141,216,43,50,-,-
2020,강동구,성내1동,198,-,278,173,234,23,41,2,3,-,-
2020,강동구,성내2동,681,-,831,585,696,84,122,12,13,-,-
2020,강동구,성내3동,483,-,651,401,533,71,103,11,15,-,-
2020,강동구,둔촌2동,391,-,517,315,392,60,107,16,18,-,-
2020,강동구,암사1동,"1,294",-,"1,896","1,079","1,511",176,327,39,58,-,-
2020,강동구,천호2동,"1,439",-,"1,971","1,194","1,571",201,345,44,55,-,-
2020,강동구,길동,"1,083",-,"1,459",880,"1,144",174,286,29,29,-,-
2020,강동구,기타,9,24,462,9,9,-,-,-,-,24,453
