기간,자치구,동,총 수급자,총 수급자,총 수급자,일반수급자,일반수급자,조건부 수급자,조건부 수급자,특례수급자,특례수급자,시설수급자,시설수급자
기간,자치구,동,가구,시설,인원,가구,인원,가구,인원,가구,인원,시설,인원
2020,광진구,자양2동,544,-,765,468,633,67,119,9,13,-,-
2020,광진구,자양3동,256,-,344,219,289,30,47,7,8,-,-
2020,광진구,자양4동,736,-,875,670,784,55,79,11,12,-,-
2020,광진구,기타,-,18,69,-,-,-,-,-,-,18,69
2020,동대문구,소계,"11,452",26,"15,043","9,866","12,493","1,055","1,667",531,696,26,187
2020,동대문구,회기동,228,-,297,205,266,18,24,5,7,-,-
2020,동대문구,휘경1동,274,-,359,234,296,29,45,11,18,-,-
2020,동대문구,휘경2동,451,-,621,386,513,48,88,17,20,-,-
2020,동대문구,청량리동,"1,426",-,"1,692","1,249","1,458",119,162,58,72,-,-
2020,동대문구,용신동,"1,322",-,"1,551","1,133","1,305",141,184,48,62,-,-
2020,동대문구,제기동,"1,191",-,"1,451","1,014","1,194",109,164,68,93,-,-
2020,동대문구,전농1동,"1,386",-,"1,750","1,182","1,446",126,196,78,108,-,-
2020,동대문구,전농2동,519,-,738,444,629,36,55,39,54,-,-
2020,동대문구,답십리2동,922,-,"1,211",804,"1,033",70,117,48,61,-,-
2020,동대문구,장안1동,"1,074",-,"1,506",949,"1,317",98,158,27,31,-,-
2020,동대문구,장안2동,861,-,"1,230",721,996,102,184,38,50,-,-
2020,동대문구,이문1동,519,-,695,434,577,59,90,26,28,-,-
2020,동대문구,이문2동,662,-,934,578,791,44,86,40,57,-,-
2020,동대문구,답십리1동,603,-,812,520,663,55,114,28,35,-,-
2020,동대문구,기타,14,26,196,13,9,1,-,-,-,26,187
2020,중랑구,소계,"17,378",44,"24,833","15,534","21,206","1,650","2,842",194,245,44,540
2020,중랑구,면목2동,"1,173",-,"1,608","1,069","1,452",91,143,13,13,-,-
2020,중랑구,면목4동,"1,119",-,"1,609","1,000","1,388",113,215,6,6,-,-
2020,중랑구,면목5동,483,-,726,426,627,51,90,6,9,-,-
2020,중랑구,면목7동,819,-,"1,067",730,936,78,117,11,14,-,-
2020,중랑구,상봉1동,"1,054",-,"1,590",931,"1,348",115,227,8,15,-,-
2020,중랑구,상봉2동,795,-,"1,026",667,864,112,143,16,19,-,-
2020,중랑구,중화1동,682,-,986,591,820,85,159,6,7,-,-
2020,중랑구,중화2동,"1,823",-,"2,371","1,595","2,032",210,317,18,22,-,-
2020,중랑구,묵1동,745,-,"1,110",688,"1,004",56,105,1,1,-,-
2020,중랑구,묵2동,709,-,967,644,868,57,88,8,11,-,-
2020,중랑구,망우3동,"1,255",-,"1,759","1,091","1,474",136,249,28,36,-,-
2020,중랑구,신내1동,"1,143",-,"1,843","1,062","1,666",70,159,11,18,-,-
2020,중랑구,신내2동,969,-,"1,351",900,"1,208",57,126,12,17,-,-
2020,중랑구,면목본동,"1,705",-,"2,314","1,545","2,074",139,216,21,24,-,-
2020,중랑구,면목3.8동,"1,281",-,"1,782","1,136","1,534",124,224,21,24,-,-
2020,중랑구,망우본동,"1,619",-,"2,181","1,455","1,908",156,264,8,9,-,-
2020,중랑구,기타,4,44,543,4,3,-,-,-,-,44,540
2020,성북구,소계,"10,928",28,"15,634","9,027","11,870","1,625","3,043",276,325,28,396
2020,성북구,돈암1동,415,-,559,346,449,57,97,12,13,-,-
2020,성북구,돈암2동,267,-,365,232,300,29,58,6,7,-,-
2020,성북구,안암동,303,-,415,266,353,25,49,12,13,-,-
2020,성북구,보문동,347,-,449,299,376,40,65,8,8,-,-
2020,성북구,정릉1동,286,-,392,229,294,52,93,5,5,-,-
2020,성북구,정릉2동,493,-,721,416,563,73,153,4,5,-,-
2020,성북구,정릉3동,542,-,728,456,577,76,141,10,10,-,-
2020,성북구,정릉4동,563,-,792,468,608,87,176,8,8,-,-
2020,성북구,길음1동,391,-,545,339,458,32,65,20,22,-,-
