과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율,행정동코드
-71.3953488372093,3,-2.6917900403768504,1,77.1929824561403,0.2316947404606394,0.010656583018219321,1111054000
-37.69051321928461,3,-15.185185185185185,4,54.545454545454504,0.16992551210428306,0.013733705772811916,1111057000
-57.09140980828303,5,-0.8,1,75.487012987013,0.21208691715708464,0.01244907197827071,1111060000
-10.256026351250187,4,-3.794240218946321,4,75.5760368663594,0.2356770833333333,0.09102746212121213,1111061500
-60.09920807588548,5,-9.99581764951903,2,91.7743830787309,0.21260898725687455,0.06656606304493629,1111067000
-49.22164566345441,2,-16.137566137566136,4,90.1705115346038,0.2695848532221643,0.08094493659892305,1114054000
-37.332589285714285,3,-18.294573643410853,5,90.266106442577,0.1918640897755611,0.025561097256857856,1114059000
-64.76432043965336,2,-12.18466447302822,4,94.2238267148014,0.2669039145907473,0.06354855109303507,1114060500
-37.75706323275035,5,-7.171775592828225,1,88.4130982367758,0.2023164120256284,0.1484721537703302,1117053000
-16.546577457539886,1,-21.651785714285715,5,63.434022257551696,0.1412938214216541,0.008231648266511718,1117058000
-53.21768006412457,4,-10.040705563093622,1,81.34684147794991,0.17748957850856878,0.0189902732746642,1117066000
-35.6187948491104,5,14.19031719532554,0,83.8222967309304,0.14026787014121414,0.01419420585238026,1120066000
-53.59811403684022,5,-12.265084075173096,2,88.451160280626,0.16850047154982709,0.05210625589437284,1120079000
-16.409512506044226,5,-6.759317751105495,5,89.12386706948641,0.25832028191072826,0.06979248238057949,1123070500
-42.260503160242905,5,-20.799407846039973,4,89.89361702127658,0.1550106107050224,0.024475359585003537,1123074000
-38.04270144720386,4,-25.418060200668894,4,77.1968854282536,0.14582907032262465,0.03294454675670145,1126055000
-16.016399043389136,3,-9.674185463659148,2,83.06878306878309,0.19134737084340125,0.06991907337092011,1126061000
-35.651935648021286,3,0.7829977628635347,0,76.4161849710983,0.1883710303861092,0.0716815170207905,1126066000
-33.28919399240339,5,-21.405049396267835,4,83.19444444444441,0.18128025820333515,0.055014915154775294,1129076000
-53.440033257119104,4,-36.62162162162162,5,91.5,0.2212533673614065,0.046292357861902736,1129077000
-38.284953186821795,5,-9.18803418803419,2,86.68146503884572,0.23863636363636365,0.070357833655706,1130560300
-31.67536091228921,5,-4.950495049504951,2,71.8487394957983,0.2618006248224936,0.09872195399034367,1130560800
-21.46239177489177,5,-23.10606060606061,3,79.1487532244196,0.1975588068870746,0.04744968070487431,1130553400
-42.74236600469784,5,5.78345662407532,2,80.0360522757999,0.19601285041587815,0.039211371737886726,1130553500
-11.058131277264886,4,-10.709046454767726,5,89.0292028413575,0.22076710559362775,0.0483298051738366,1130555500
-54.753834524128855,5,-5.229357798165138,1,71.74468085106379,0.19571266618571576,0.035607544058538595,1132067000
-34.05593927374684,5,-10.144927536231883,3,77.08803611738149,0.2089092951692473,0.07180188541005228,1132070000
-13.216175605931928,1,-22.73476112026359,2,60.879120879120904,0.20608365019011407,0.08169473112438892,1135057000
-19.533397060580715,2,0.0,0,60.4247104247104,0.15544430538172715,0.07563025210084033,1135061100
-19.289053683701443,5,-0.7033997655334115,1,63.2707774798928,0.1906804163454125,0.06476484194294525,1135062400
-31.64388661383822,4,-28.940986257073565,4,89.9182561307902,0.22288846380223665,0.06636256621542083,1135066500
-17.604890913450014,5,1.2392755004766445,1,79.1208791208791,0.2028887764851346,0.08778733209689203,1135062500
-65.4118201823326,4,-41.53005464480874,5,81.38297872340429,0.18049387102504885,0.03499733522828211,1138065000
-33.37012671641132,2,-15.310344827586205,2,52.4590163934426,0.1332631187658757,0.010532185118641969,1141069000
-25.23045100948784,4,13.44913151364764,1,70.02314814814821,0.1452411714039621,0.02513996554694229,1144068000
-36.31872308082089,5,-9.35897435897436,1,86.0436137071651,0.18515502662073285,0.06608205449420608,1147058000
-23.014965571562872,5,-4.6402724563644115,2,67.8391959798995,0.20524320909665192,0.1286797220467467,1150053500
-52.88290441664674,4,-7.755102040816326,1,62.1818181818182,0.1519730869867037,0.030223741122443533,1150055000
-40.133254116448825,5,-1.478743068391867,2,75.6302521008403,0.2646010419522896,0.16588977241568412,1150060400
-32.945001354646436,5,-0.8391608391608392,1,78.3333333333333,0.2289674645446961,0.10582044535711994,1150060500
-28.411095077761747,5,-1.7741935483870968,2,72.9074889867841,0.21067141705899814,0.06625100733765958,1150064100
-19.941326627805086,5,17.117117117117118,0,52.7377521613833,0.18314321926489227,0.04200615607459714,1154568000
-40.898710865561696,2,-25.583657587548643,5,88.3720930232558,0.17085038151056064,0.033008957204467546,1156065000
-54.38255510784546,4,-35.067437379576106,4,89.12237330037078,0.17111145367658392,0.03923231077539695,1156066000
-61.490637799882975,4,-23.76068376068376,4,86.4676616915423,0.165893085787452,0.03265044814340589,1156067000
-55.50623094614109,5,-4.3591979075850045,1,72.4077328646749,0.1685805673535735,0.018404907975460124,1156068000
-50.41613041613042,5,-2.53388332351208,1,94.2013129102845,0.19960035523978686,0.05580224985198342,1159052000
-14.294495025162306,1,-4.589787722317843,5,65.3846153846154,0.15584800270819227,0.023442789438050102,1159062000
-60.356500128545726,2,-6.984667802385008,1,64.3872113676732,0.1796698404000274,0.02698814987327899,1159065000
-44.16580172096293,3,-10.913140311804009,2,60.0292825768668,0.14559068219633944,0.027610232945091514,1162072500
-44.285245216560696,2,11.796008869179602,2,60.5660377358491,0.11964474713542865,0.003865445676683079,1165052000
