과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),노인인구비율,기초생활 대상자 비율,행정동코드
-71.3953488372093,3,-2.6917900403768504,1,77.1929824561403,0.2316947404606394,0.01409419044345136,1111054000
-37.69051321928461,3,-15.185185185185185,4,54.545454545454504,0.16992551210428306,0.018040037243947857,1111057000
-57.09140980828303,5,-0.8,1,75.487012987013,0.21208691715708464,0.015844273426889998,1111060000
-64.35455607476635,3,-6.5588615782664945,5,87.41355463347159,0.19784299858557286,0.05144978783592645,1111063000
-58.99100081810745,5,-11.170212765957446,2,81.5720524017467,0.1744544445814326,0.032918259154234984,1111064000
-60.09920807588548,5,-9.99581764951903,2,91.7743830787309,0.21260898725687455,0.0761234071093226,1111067000
-63.387273855553964,5,-2.1479713603818613,1,87.5109170305677,0.18867725981269076,0.04735346732610755,1111068000
-45.245515034111,5,4.3478260869565215,2,90.9967845659164,0.17461657520754187,0.032081046855213166,1111069000
-54.18591457978766,5,-8.78243512974052,2,85.0539291217257,0.1903569192235441,0.0486850344395742,1111070000
-34.94377034625629,3,-7.305194805194804,3,76.6968325791855,0.16732167419925328,0.04165847907250934,1111071000
-49.22164566345441,2,-16.137566137566136,4,90.1705115346038,0.2695848532221643,0.08511377453534827,1114054000
-49.94389726966713,4,-13.184828416616496,4,80.51546391752579,0.18279343710559529,0.018721076987799748,1114057000
-41.7469951207902,5,-10.267857142857142,2,83.5705045278137,0.1547183613752743,0.02267739575713241,1114058000
-37.332589285714285,3,-18.294573643410853,5,90.266106442577,0.1918640897755611,0.03008104738154613,1114059000
-64.76432043965336,2,-12.18466447302822,4,94.2238267148014,0.2669039145907473,0.06507371631926792,1114060500
-37.8023881705129,3,-12.01848998459168,1,79.42196531791909,0.16416674335143094,0.038649121192601464,1114065000
-40.77060045504006,2,-4.365278474661315,3,86.25114573785521,0.14891730101248984,0.03569580962234868,1114067000
-34.411164057181765,2,-11.233885819521179,4,80.1571709233792,0.16608077493945786,0.04718381376454965,1114068000
-44.6024263967236,2,-9.341051463008485,4,89.55017301038059,0.1568926123381569,0.038515939506038516,1114061500
-55.8892900120337,5,0.3759398496240601,2,84.9869451697128,0.18701206529453512,0.05101135557132718,1117052000
-37.75706323275035,5,-7.171775592828225,1,88.4130982367758,0.2023164120256284,0.15586495810744208,1117053000
-50.20290835306054,4,-10.218546958062609,4,88.1470367591898,0.1856458238247376,0.025901414879050663,1117065000
-53.21768006412457,4,-10.040705563093622,1,81.34684147794991,0.17748957850856878,0.02621584066697545,1117066000
